ES0168;"BANOUE BRUXELLES LAMBERT";BBRUESMXXXX
ES0169;"BANCO DE LA NACIÓN ARGENTINA";NACNESMMXXX
ES0182;"BANCO BILBAO VIZCAYA, S.A.";BBVAESMMXXX
ES0186;"BANCO DE FINANZAS E INVERSIONES, S.A.";BFIVESBBXXX
ES0188;"BANCO ALCALÁ, S.A.";ALCLESMMXXX
ES0190;"BANCO DE FOMENTO E EXTERIOR-PORTUGAL";BBPIESMMXXX
ES0196;"WESTDEUTSCHE LANDESBANK (EUROPA) AG";WELAESMMXXX
ES0198;"BANCO COOPERATIVO ESPAÑOL, S.A.";BCOEESMMXXX
ES0200;"PRIVAT BANK";PRVBESB1XXX
ES0205;"DEUTSCHE BANK CREDIT";DECRESM1XXX
ES0211;"SOCIEDAD ESPAÑOLA DE BANCA DE NEGOCIOS, S.A.";PROAESMMXXX
ES0216;"BANCO POPULAR HIPOTECARIO, S.A.";POHIESMMXXX
ES0217;"BANCO HALIFAX HISPANIA";HLFXESMMXXX
ES0219;"MAROCAINE DU COMERCE EXTERIEUR";BMCEESMMXXX
ES0220;"BANCO ESFINGE, S.A.";FIOFESM1XXX
ES0227;"UNOE BANK S.A.";UNOEESM1XXX
ES0229;POPULAR-E;POPLESMMXXX
ES0487;"BANCO MARE MOSTRUM, S.A.";GBMNESMMXXX
ES1000;"INSTITUTO DE CRÉDITO OFICIAL";ICROESMMXXX
ES1302;"CAJA POSTAL, S.A.";BBVAESMMXXX
ES1465;"ING.BANK N.V. SUCURSAL EN ESPAÑA";INGDESMMXXX
ES1490;"SELF TRADE BANK S.A.";SELFESMMXXX
ES1491;"TRIODOS BANK N.V.S.E.";TRIOESMMXXX
ES2000;"CONFEDERACIÓN ESPAÑOLA DE CAJAS DE AHORRO";CECAESMMXXX
ES2010;"MONTE DE PIEDAD Y CAJA GENERAL DE AHORROS DE BADAJOZ";CECAESMM1
ES2013;"CAJA DE AHORROS DE CATALUÑA";CESCESBBXXX
ES2017;"CAJA DE AHORROS Y M. DE P. DEL C.C.O.O. DE BURGOS";CECAESMM17
ES2018;"CAJA DE AHORROS MUNICIPAL DE BURGOS";CECAESMM18
ES2031;"CAJA GENERAL DE AHORROS DE GRANADA";CECAESMM31
ES2038;"CAJA DE AHORROS Y MONTE DE PIEDAD DE MADRID";CAHMESMMXXX
ES2043;"CAJA DE AHORROS DE MURCIA";CECAESMM43
ES2045;"CAJA DE AHORROS Y MONTE DE PIEDAD DE ONTINYENT";CECAESMM45
ES2048;"CAJA DE AHORROS DE ASTURIAS";CECAESMM48
ES2051;"CAJA DE AHORROS Y MONTE PIEDAD DE BALEARES";CECAESMM51
ES2052;"CAJA INSULAR DE AHORROS DE CANARIAS";CECAESMM52
ES2056;"CAJA DE AHORROS DE POLLENSA";CECAESMM56
ES2059;"CAJA DE AHORROS DE SABADELL";CECAESMM59
ES2066;"CAJA DE AHORROS DE SANTANDER Y CANTABRIA";CECAESMM66
ES2080;"CAJA DE AHORROS MUNICIPAL DE VIGO";CAGLESMMVIG
ES2081;"CAIXA D'ESTALVIS DEL PENEDES";CECAESMM81
ES2085;"CAJA DE AHORROS Y M. DE P. DE ZARAGOZA, ARAGÓN Y RIOJA";CAZRES2ZXXX
ES2086;"CAJA DE AHORROS DE LA INMACULADA DE ARAGÓN";CECAESMM86
ES2095;"BILBAO BIZKAIA KUTXA";BASKES2BXXX
ES2096;"CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M. DE P.";CSPAES2LXXX
ES2099;"CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA";CECAESMM99
ES2100;"CAJA DE AHORROS Y PENSIONES DE BARCELONA";CAIXESBBXXX
